"","year","country_sector","country","sector","ecp","CO2"
"3812",1993,"Sweden (SWE) Non-profit institutions serving households P.3n","Sweden","Non-profit institutions serving households P.3n",NA,0
"3813",1993,"Sweden (SWE) Government final consumption P.3g","Sweden","Government final consumption P.3g",NA,0
"3814",1993,"Sweden (SWE) Gross fixed capital formation P.51","Sweden","Gross fixed capital formation P.51",NA,0
"3815",1993,"Sweden (SWE) Changes in inventories P.52","Sweden","Changes in inventories P.52",NA,0
"3816",1993,"Sweden (SWE) Acquisitions less disposals of valuables P.53","Sweden","Acquisitions less disposals of valuables P.53",NA,0
"3817",1993,"Syria (SYR) Household final consumption P.3h","Syria","Household final consumption P.3h",0,8610.84777383531
"3818",1993,"Syria (SYR) Non-profit institutions serving households P.3n","Syria","Non-profit institutions serving households P.3n",NA,0
"3819",1993,"Syria (SYR) Government final consumption P.3g","Syria","Government final consumption P.3g",NA,0
"3820",1993,"Syria (SYR) Gross fixed capital formation P.51","Syria","Gross fixed capital formation P.51",NA,0
"3821",1993,"Syria (SYR) Changes in inventories P.52","Syria","Changes in inventories P.52",NA,0
"3822",1993,"Syria (SYR) Acquisitions less disposals of valuables P.53","Syria","Acquisitions less disposals of valuables P.53",NA,0
"3823",1993,"Chad (TCD) Household final consumption P.3h","Chad","Household final consumption P.3h",0,45.1389482198106
"3824",1993,"Chad (TCD) Non-profit institutions serving households P.3n","Chad","Non-profit institutions serving households P.3n",NA,0
"3825",1993,"Chad (TCD) Government final consumption P.3g","Chad","Government final consumption P.3g",NA,0
"3826",1993,"Chad (TCD) Gross fixed capital formation P.51","Chad","Gross fixed capital formation P.51",NA,0
"3827",1993,"Chad (TCD) Changes in inventories P.52","Chad","Changes in inventories P.52",NA,0
"3828",1993,"Chad (TCD) Acquisitions less disposals of valuables P.53","Chad","Acquisitions less disposals of valuables P.53",NA,0
"3829",1993,"Togo (TGO) Household final consumption P.3h","Togo","Household final consumption P.3h",0,57.3722182299674
"3830",1993,"Togo (TGO) Non-profit institutions serving households P.3n","Togo","Non-profit institutions serving households P.3n",NA,0
"3831",1993,"Togo (TGO) Government final consumption P.3g","Togo","Government final consumption P.3g",NA,0
"3832",1993,"Togo (TGO) Gross fixed capital formation P.51","Togo","Gross fixed capital formation P.51",NA,0
"3833",1993,"Togo (TGO) Changes in inventories P.52","Togo","Changes in inventories P.52",NA,0
"3834",1993,"Togo (TGO) Acquisitions less disposals of valuables P.53","Togo","Acquisitions less disposals of valuables P.53",NA,0
"3835",1993,"Thailand (THA) Household final consumption P.3h","Thailand","Household final consumption P.3h",0,17714.0944396343
"3836",1993,"Thailand (THA) Non-profit institutions serving households P.3n","Thailand","Non-profit institutions serving households P.3n",NA,0
"3837",1993,"Thailand (THA) Government final consumption P.3g","Thailand","Government final consumption P.3g",NA,0
"3838",1993,"Thailand (THA) Gross fixed capital formation P.51","Thailand","Gross fixed capital formation P.51",NA,0
"3839",1993,"Thailand (THA) Changes in inventories P.52","Thailand","Changes in inventories P.52",NA,0
"3840",1993,"Thailand (THA) Acquisitions less disposals of valuables P.53","Thailand","Acquisitions less disposals of valuables P.53",NA,0
"3841",1993,"Tajikistan (TJK) Household final consumption P.3h","Tajikistan","Household final consumption P.3h",0,201.007064848844
"3842",1993,"Tajikistan (TJK) Non-profit institutions serving households P.3n","Tajikistan","Non-profit institutions serving households P.3n",NA,0
"3843",1993,"Tajikistan (TJK) Government final consumption P.3g","Tajikistan","Government final consumption P.3g",NA,0
"3844",1993,"Tajikistan (TJK) Gross fixed capital formation P.51","Tajikistan","Gross fixed capital formation P.51",NA,0
"3845",1993,"Tajikistan (TJK) Changes in inventories P.52","Tajikistan","Changes in inventories P.52",NA,0
"3846",1993,"Tajikistan (TJK) Acquisitions less disposals of valuables P.53","Tajikistan","Acquisitions less disposals of valuables P.53",NA,0
"3847",1993,"Turkmenistan (TKM) Household final consumption P.3h","Turkmenistan","Household final consumption P.3h",0,6227.85371305877
"3848",1993,"Turkmenistan (TKM) Non-profit institutions serving households P.3n","Turkmenistan","Non-profit institutions serving households P.3n",NA,0
"3849",1993,"Turkmenistan (TKM) Government final consumption P.3g","Turkmenistan","Government final consumption P.3g",NA,0
"3850",1993,"Turkmenistan (TKM) Gross fixed capital formation P.51","Turkmenistan","Gross fixed capital formation P.51",NA,0
"3851",1993,"Turkmenistan (TKM) Changes in inventories P.52","Turkmenistan","Changes in inventories P.52",NA,0
"3852",1993,"Turkmenistan (TKM) Acquisitions less disposals of valuables P.53","Turkmenistan","Acquisitions less disposals of valuables P.53",NA,0
"3853",1993,"Tunisia (TUN) Household final consumption P.3h","Tunisia","Household final consumption P.3h",0,4492.13471200684
"3854",1993,"Tunisia (TUN) Non-profit institutions serving households P.3n","Tunisia","Non-profit institutions serving households P.3n",NA,0
"3855",1993,"Tunisia (TUN) Government final consumption P.3g","Tunisia","Government final consumption P.3g",NA,0
"3856",1993,"Tunisia (TUN) Gross fixed capital formation P.51","Tunisia","Gross fixed capital formation P.51",NA,0
"3857",1993,"Tunisia (TUN) Changes in inventories P.52","Tunisia","Changes in inventories P.52",NA,0
"3858",1993,"Tunisia (TUN) Acquisitions less disposals of valuables P.53","Tunisia","Acquisitions less disposals of valuables P.53",NA,0
"3859",1993,"Turkey (TUR) Household final consumption P.3h","Turkey","Household final consumption P.3h",0,43521.1234844333
"3860",1993,"Turkey (TUR) Non-profit institutions serving households P.3n","Turkey","Non-profit institutions serving households P.3n",NA,0
"3861",1993,"Turkey (TUR) Government final consumption P.3g","Turkey","Government final consumption P.3g",NA,0
"3862",1993,"Turkey (TUR) Gross fixed capital formation P.51","Turkey","Gross fixed capital formation P.51",NA,0
"3863",1993,"Turkey (TUR) Changes in inventories P.52","Turkey","Changes in inventories P.52",NA,0
"3864",1993,"Turkey (TUR) Acquisitions less disposals of valuables P.53","Turkey","Acquisitions less disposals of valuables P.53",NA,0
"3865",1993,"Tanzania (TZA) Household final consumption P.3h","Tanzania","Household final consumption P.3h",0,589.399775367173
"3866",1993,"Tanzania (TZA) Non-profit institutions serving households P.3n","Tanzania","Non-profit institutions serving households P.3n",NA,0
"3867",1993,"Tanzania (TZA) Government final consumption P.3g","Tanzania","Government final consumption P.3g",NA,0
"3868",1993,"Tanzania (TZA) Gross fixed capital formation P.51","Tanzania","Gross fixed capital formation P.51",NA,0
"3869",1993,"Tanzania (TZA) Changes in inventories P.52","Tanzania","Changes in inventories P.52",NA,0
"3870",1993,"Tanzania (TZA) Acquisitions less disposals of valuables P.53","Tanzania","Acquisitions less disposals of valuables P.53",NA,0
"3871",1993,"Uganda (UGA) Household final consumption P.3h","Uganda","Household final consumption P.3h",0,148.017277537636
"3872",1993,"Uganda (UGA) Non-profit institutions serving households P.3n","Uganda","Non-profit institutions serving households P.3n",NA,0
"3873",1993,"Uganda (UGA) Government final consumption P.3g","Uganda","Government final consumption P.3g",NA,0
"3874",1993,"Uganda (UGA) Gross fixed capital formation P.51","Uganda","Gross fixed capital formation P.51",NA,0
"3875",1993,"Uganda (UGA) Changes in inventories P.52","Uganda","Changes in inventories P.52",NA,0
"3876",1993,"Uganda (UGA) Acquisitions less disposals of valuables P.53","Uganda","Acquisitions less disposals of valuables P.53",NA,0
"3877",1993,"Ukraine (UKR) Household final consumption P.3h","Ukraine","Household final consumption P.3h",0,74215.7369223179
"3878",1993,"Ukraine (UKR) Non-profit institutions serving households P.3n","Ukraine","Non-profit institutions serving households P.3n",NA,0
"3879",1993,"Ukraine (UKR) Government final consumption P.3g","Ukraine","Government final consumption P.3g",NA,0
"3880",1993,"Ukraine (UKR) Gross fixed capital formation P.51","Ukraine","Gross fixed capital formation P.51",NA,0
"3881",1993,"Ukraine (UKR) Changes in inventories P.52","Ukraine","Changes in inventories P.52",NA,0
"3882",1993,"Ukraine (UKR) Acquisitions less disposals of valuables P.53","Ukraine","Acquisitions less disposals of valuables P.53",NA,0
"3883",1993,"Uruguay (URY) Household final consumption P.3h","Uruguay","Household final consumption P.3h",0,2309.2051325411
"3884",1993,"Uruguay (URY) Non-profit institutions serving households P.3n","Uruguay","Non-profit institutions serving households P.3n",NA,0
"3885",1993,"Uruguay (URY) Government final consumption P.3g","Uruguay","Government final consumption P.3g",NA,0
"3886",1993,"Uruguay (URY) Gross fixed capital formation P.51","Uruguay","Gross fixed capital formation P.51",NA,0
"3887",1993,"Uruguay (URY) Changes in inventories P.52","Uruguay","Changes in inventories P.52",NA,0
"3888",1993,"Uruguay (URY) Acquisitions less disposals of valuables P.53","Uruguay","Acquisitions less disposals of valuables P.53",NA,0
"3889",1993,"United States of America (USA) Household final consumption P.3h","United States of America","Household final consumption P.3h",0,1103150.21401281
"3890",1993,"United States of America (USA) Non-profit institutions serving households P.3n","United States of America","Non-profit institutions serving households P.3n",NA,0
"3891",1993,"United States of America (USA) Government final consumption P.3g","United States of America","Government final consumption P.3g",NA,0
"3892",1993,"United States of America (USA) Gross fixed capital formation P.51","United States of America","Gross fixed capital formation P.51",NA,0
"3893",1993,"United States of America (USA) Changes in inventories P.52","United States of America","Changes in inventories P.52",NA,0
"3894",1993,"United States of America (USA) Acquisitions less disposals of valuables P.53","United States of America","Acquisitions less disposals of valuables P.53",NA,0
"3895",1993,"Uzbekistan (UZB) Household final consumption P.3h","Uzbekistan","Household final consumption P.3h",0,2947.68914918449
"3896",1993,"Uzbekistan (UZB) Non-profit institutions serving households P.3n","Uzbekistan","Non-profit institutions serving households P.3n",NA,0
"3897",1993,"Uzbekistan (UZB) Government final consumption P.3g","Uzbekistan","Government final consumption P.3g",NA,0
"3898",1993,"Uzbekistan (UZB) Gross fixed capital formation P.51","Uzbekistan","Gross fixed capital formation P.51",NA,0
"3899",1993,"Uzbekistan (UZB) Changes in inventories P.52","Uzbekistan","Changes in inventories P.52",NA,0
"3900",1993,"Uzbekistan (UZB) Acquisitions less disposals of valuables P.53","Uzbekistan","Acquisitions less disposals of valuables P.53",NA,0
"3901",1993,"Venezuela (VEN) Household final consumption P.3h","Venezuela","Household final consumption P.3h",0,26812.2848333929
"3902",1993,"Venezuela (VEN) Non-profit institutions serving households P.3n","Venezuela","Non-profit institutions serving households P.3n",NA,0
"3903",1993,"Venezuela (VEN) Government final consumption P.3g","Venezuela","Government final consumption P.3g",NA,0
"3904",1993,"Venezuela (VEN) Gross fixed capital formation P.51","Venezuela","Gross fixed capital formation P.51",NA,0
"3905",1993,"Venezuela (VEN) Changes in inventories P.52","Venezuela","Changes in inventories P.52",NA,0
"3906",1993,"Venezuela (VEN) Acquisitions less disposals of valuables P.53","Venezuela","Acquisitions less disposals of valuables P.53",NA,0
"3907",1993,"Viet Nam (VNM) Household final consumption P.3h","Viet Nam","Household final consumption P.3h",0,8084.81902829079
"3908",1993,"Viet Nam (VNM) Non-profit institutions serving households P.3n","Viet Nam","Non-profit institutions serving households P.3n",NA,0
"3909",1993,"Viet Nam (VNM) Government final consumption P.3g","Viet Nam","Government final consumption P.3g",NA,0
"3910",1993,"Viet Nam (VNM) Gross fixed capital formation P.51","Viet Nam","Gross fixed capital formation P.51",NA,0
"3911",1993,"Viet Nam (VNM) Changes in inventories P.52","Viet Nam","Changes in inventories P.52",NA,0
"3912",1993,"Viet Nam (VNM) Acquisitions less disposals of valuables P.53","Viet Nam","Acquisitions less disposals of valuables P.53",NA,0
"3913",1993,"Yemen Arab Republic/Yemen (1990/1991) (YEM) Household final consumption P.3h","Yemen Arab Republic/Yemen (1990/1991)","Household final consumption P.3h",0,2941.33829024427
"3914",1993,"Yemen Arab Republic/Yemen (1990/1991) (YEM) Non-profit institutions serving households P.3n","Yemen Arab Republic/Yemen (1990/1991)","Non-profit institutions serving households P.3n",NA,0
"3915",1993,"Yemen Arab Republic/Yemen (1990/1991) (YEM) Government final consumption P.3g","Yemen Arab Republic/Yemen (1990/1991)","Government final consumption P.3g",NA,0
"3916",1993,"Yemen Arab Republic/Yemen (1990/1991) (YEM) Gross fixed capital formation P.51","Yemen Arab Republic/Yemen (1990/1991)","Gross fixed capital formation P.51",NA,0
"3917",1993,"Yemen Arab Republic/Yemen (1990/1991) (YEM) Changes in inventories P.52","Yemen Arab Republic/Yemen (1990/1991)","Changes in inventories P.52",NA,0
"3918",1993,"Yemen Arab Republic/Yemen (1990/1991) (YEM) Acquisitions less disposals of valuables P.53","Yemen Arab Republic/Yemen (1990/1991)","Acquisitions less disposals of valuables P.53",NA,0
"3919",1993,"South Africa (ZAF) Household final consumption P.3h","South Africa","Household final consumption P.3h",0,34925.7316598107
"3920",1993,"South Africa (ZAF) Non-profit institutions serving households P.3n","South Africa","Non-profit institutions serving households P.3n",NA,0
"3921",1993,"South Africa (ZAF) Government final consumption P.3g","South Africa","Government final consumption P.3g",NA,0
"3922",1993,"South Africa (ZAF) Gross fixed capital formation P.51","South Africa","Gross fixed capital formation P.51",NA,0
"3923",1993,"South Africa (ZAF) Changes in inventories P.52","South Africa","Changes in inventories P.52",NA,0
"3924",1993,"South Africa (ZAF) Acquisitions less disposals of valuables P.53","South Africa","Acquisitions less disposals of valuables P.53",NA,0
"3925",1993,"Zambia (ZMB) Household final consumption P.3h","Zambia","Household final consumption P.3h",0,503.200611262324
"3926",1993,"Zambia (ZMB) Non-profit institutions serving households P.3n","Zambia","Non-profit institutions serving households P.3n",NA,0
"3927",1993,"Zambia (ZMB) Government final consumption P.3g","Zambia","Government final consumption P.3g",NA,0
"3928",1993,"Zambia (ZMB) Gross fixed capital formation P.51","Zambia","Gross fixed capital formation P.51",NA,0
"3929",1993,"Zambia (ZMB) Changes in inventories P.52","Zambia","Changes in inventories P.52",NA,0
"3930",1993,"Zambia (ZMB) Acquisitions less disposals of valuables P.53","Zambia","Acquisitions less disposals of valuables P.53",NA,0
"3931",1993,"Zimbabwe (ZWE) Household final consumption P.3h","Zimbabwe","Household final consumption P.3h",0,3202.53997815612
"3932",1993,"Zimbabwe (ZWE) Non-profit institutions serving households P.3n","Zimbabwe","Non-profit institutions serving households P.3n",NA,0
"3933",1993,"Zimbabwe (ZWE) Government final consumption P.3g","Zimbabwe","Government final consumption P.3g",NA,0
"3934",1993,"Zimbabwe (ZWE) Gross fixed capital formation P.51","Zimbabwe","Gross fixed capital formation P.51",NA,0
"3935",1993,"Zimbabwe (ZWE) Changes in inventories P.52","Zimbabwe","Changes in inventories P.52",NA,0
"3936",1993,"Zimbabwe (ZWE) Acquisitions less disposals of valuables P.53","Zimbabwe","Acquisitions less disposals of valuables P.53",NA,0
"3937",1994,"Rest of Americas (XAM) Household final consumption P.3h","Rest of Americas","Household final consumption P.3h",0,3319.71487626655
"3938",1994,"Rest of Americas (XAM) Non-profit institutions serving households P.3n","Rest of Americas","Non-profit institutions serving households P.3n",NA,0
"3939",1994,"Rest of Americas (XAM) Government final consumption P.3g","Rest of Americas","Government final consumption P.3g",NA,0
"3940",1994,"Rest of Americas (XAM) Gross fixed capital formation P.51","Rest of Americas","Gross fixed capital formation P.51",NA,0
"3941",1994,"Rest of Americas (XAM) Changes in inventories P.52","Rest of Americas","Changes in inventories P.52",NA,0
"3942",1994,"Rest of Americas (XAM) Acquisitions less disposals of valuables P.53","Rest of Americas","Acquisitions less disposals of valuables P.53",NA,0
"3943",1994,"Rest of Europe (XEU) Household final consumption P.3h","Rest of Europe","Household final consumption P.3h",0,443.466320293901
"3944",1994,"Rest of Europe (XEU) Non-profit institutions serving households P.3n","Rest of Europe","Non-profit institutions serving households P.3n",NA,0
"3945",1994,"Rest of Europe (XEU) Government final consumption P.3g","Rest of Europe","Government final consumption P.3g",NA,0
"3946",1994,"Rest of Europe (XEU) Gross fixed capital formation P.51","Rest of Europe","Gross fixed capital formation P.51",NA,0
"3947",1994,"Rest of Europe (XEU) Changes in inventories P.52","Rest of Europe","Changes in inventories P.52",NA,0
"3948",1994,"Rest of Europe (XEU) Acquisitions less disposals of valuables P.53","Rest of Europe","Acquisitions less disposals of valuables P.53",NA,0
"3949",1994,"Rest of Africa (XAF) Household final consumption P.3h","Rest of Africa","Household final consumption P.3h",0,752.09517890599
"3950",1994,"Rest of Africa (XAF) Non-profit institutions serving households P.3n","Rest of Africa","Non-profit institutions serving households P.3n",NA,0
"3951",1994,"Rest of Africa (XAF) Government final consumption P.3g","Rest of Africa","Government final consumption P.3g",NA,0
"3952",1994,"Rest of Africa (XAF) Gross fixed capital formation P.51","Rest of Africa","Gross fixed capital formation P.51",NA,0
"3953",1994,"Rest of Africa (XAF) Changes in inventories P.52","Rest of Africa","Changes in inventories P.52",NA,0
"3954",1994,"Rest of Africa (XAF) Acquisitions less disposals of valuables P.53","Rest of Africa","Acquisitions less disposals of valuables P.53",NA,0
"3955",1994,"Rest of Asia-Pacific (XAS) Household final consumption P.3h","Rest of Asia-Pacific","Household final consumption P.3h",0,26603.5583588551
"3956",1994,"Rest of Asia-Pacific (XAS) Non-profit institutions serving households P.3n","Rest of Asia-Pacific","Non-profit institutions serving households P.3n",NA,0
"3957",1994,"Rest of Asia-Pacific (XAS) Government final consumption P.3g","Rest of Asia-Pacific","Government final consumption P.3g",NA,0
"3958",1994,"Rest of Asia-Pacific (XAS) Gross fixed capital formation P.51","Rest of Asia-Pacific","Gross fixed capital formation P.51",NA,0
"3959",1994,"Rest of Asia-Pacific (XAS) Changes in inventories P.52","Rest of Asia-Pacific","Changes in inventories P.52",NA,0
"3960",1994,"Rest of Asia-Pacific (XAS) Acquisitions less disposals of valuables P.53","Rest of Asia-Pacific","Acquisitions less disposals of valuables P.53",NA,0
"3961",1994,"Afghanistan (AFG) Household final consumption P.3h","Afghanistan","Household final consumption P.3h",0,170.54713939513
"3962",1994,"Afghanistan (AFG) Non-profit institutions serving households P.3n","Afghanistan","Non-profit institutions serving households P.3n",NA,0
"3963",1994,"Afghanistan (AFG) Government final consumption P.3g","Afghanistan","Government final consumption P.3g",NA,0
"3964",1994,"Afghanistan (AFG) Gross fixed capital formation P.51","Afghanistan","Gross fixed capital formation P.51",NA,0
"3965",1994,"Afghanistan (AFG) Changes in inventories P.52","Afghanistan","Changes in inventories P.52",NA,0
"3966",1994,"Afghanistan (AFG) Acquisitions less disposals of valuables P.53","Afghanistan","Acquisitions less disposals of valuables P.53",NA,0
"3967",1994,"Angola (AGO) Household final consumption P.3h","Angola","Household final consumption P.3h",0,1164.28245757964
"3968",1994,"Angola (AGO) Non-profit institutions serving households P.3n","Angola","Non-profit institutions serving households P.3n",NA,0
"3969",1994,"Angola (AGO) Government final consumption P.3g","Angola","Government final consumption P.3g",NA,0
"3970",1994,"Angola (AGO) Gross fixed capital formation P.51","Angola","Gross fixed capital formation P.51",NA,0
"3971",1994,"Angola (AGO) Changes in inventories P.52","Angola","Changes in inventories P.52",NA,0
"3972",1994,"Angola (AGO) Acquisitions less disposals of valuables P.53","Angola","Acquisitions less disposals of valuables P.53",NA,0
"3973",1994,"Albania (ALB) Household final consumption P.3h","Albania","Household final consumption P.3h",0,535.493139258389
"3974",1994,"Albania (ALB) Non-profit institutions serving households P.3n","Albania","Non-profit institutions serving households P.3n",NA,0
"3975",1994,"Albania (ALB) Government final consumption P.3g","Albania","Government final consumption P.3g",NA,0
"3976",1994,"Albania (ALB) Gross fixed capital formation P.51","Albania","Gross fixed capital formation P.51",NA,0
"3977",1994,"Albania (ALB) Changes in inventories P.52","Albania","Changes in inventories P.52",NA,0
"3978",1994,"Albania (ALB) Acquisitions less disposals of valuables P.53","Albania","Acquisitions less disposals of valuables P.53",NA,0
"3979",1994,"United Arab Emirates (ARE) Household final consumption P.3h","United Arab Emirates","Household final consumption P.3h",0,10907.4875611441
"3980",1994,"United Arab Emirates (ARE) Non-profit institutions serving households P.3n","United Arab Emirates","Non-profit institutions serving households P.3n",NA,0
"3981",1994,"United Arab Emirates (ARE) Government final consumption P.3g","United Arab Emirates","Government final consumption P.3g",NA,0
"3982",1994,"United Arab Emirates (ARE) Gross fixed capital formation P.51","United Arab Emirates","Gross fixed capital formation P.51",NA,0
"3983",1994,"United Arab Emirates (ARE) Changes in inventories P.52","United Arab Emirates","Changes in inventories P.52",NA,0
"3984",1994,"United Arab Emirates (ARE) Acquisitions less disposals of valuables P.53","United Arab Emirates","Acquisitions less disposals of valuables P.53",NA,0
"3985",1994,"Argentina (ARG) Household final consumption P.3h","Argentina","Household final consumption P.3h",0,46474.8655634859
"3986",1994,"Argentina (ARG) Non-profit institutions serving households P.3n","Argentina","Non-profit institutions serving households P.3n",NA,0
"3987",1994,"Argentina (ARG) Government final consumption P.3g","Argentina","Government final consumption P.3g",NA,0
"3988",1994,"Argentina (ARG) Gross fixed capital formation P.51","Argentina","Gross fixed capital formation P.51",NA,0
"3989",1994,"Argentina (ARG) Changes in inventories P.52","Argentina","Changes in inventories P.52",NA,0
"3990",1994,"Argentina (ARG) Acquisitions less disposals of valuables P.53","Argentina","Acquisitions less disposals of valuables P.53",NA,0
"3991",1994,"Armenia (ARM) Household final consumption P.3h","Armenia","Household final consumption P.3h",0,879.326158852617
"3992",1994,"Armenia (ARM) Non-profit institutions serving households P.3n","Armenia","Non-profit institutions serving households P.3n",NA,0
"3993",1994,"Armenia (ARM) Government final consumption P.3g","Armenia","Government final consumption P.3g",NA,0
"3994",1994,"Armenia (ARM) Gross fixed capital formation P.51","Armenia","Gross fixed capital formation P.51",NA,0
"3995",1994,"Armenia (ARM) Changes in inventories P.52","Armenia","Changes in inventories P.52",NA,0
"3996",1994,"Armenia (ARM) Acquisitions less disposals of valuables P.53","Armenia","Acquisitions less disposals of valuables P.53",NA,0
"3997",1994,"Australia (AUS) Household final consumption P.3h","Australia","Household final consumption P.3h",0,52615.7158801145
"3998",1994,"Australia (AUS) Non-profit institutions serving households P.3n","Australia","Non-profit institutions serving households P.3n",NA,0
"3999",1994,"Australia (AUS) Government final consumption P.3g","Australia","Government final consumption P.3g",NA,0
"4000",1994,"Australia (AUS) Gross fixed capital formation P.51","Australia","Gross fixed capital formation P.51",NA,0
"4001",1994,"Australia (AUS) Changes in inventories P.52","Australia","Changes in inventories P.52",NA,0
"4002",1994,"Australia (AUS) Acquisitions less disposals of valuables P.53","Australia","Acquisitions less disposals of valuables P.53",NA,0
"4003",1994,"Austria (AUT) Household final consumption P.3h","Austria","Household final consumption P.3h",0,25292.7420052331
"4004",1994,"Austria (AUT) Non-profit institutions serving households P.3n","Austria","Non-profit institutions serving households P.3n",NA,0
"4005",1994,"Austria (AUT) Government final consumption P.3g","Austria","Government final consumption P.3g",NA,0
"4006",1994,"Austria (AUT) Gross fixed capital formation P.51","Austria","Gross fixed capital formation P.51",NA,0
"4007",1994,"Austria (AUT) Changes in inventories P.52","Austria","Changes in inventories P.52",NA,0
"4008",1994,"Austria (AUT) Acquisitions less disposals of valuables P.53","Austria","Acquisitions less disposals of valuables P.53",NA,0
"4009",1994,"Azerbaijan (AZE) Household final consumption P.3h","Azerbaijan","Household final consumption P.3h",0,7909.43209265157
"4010",1994,"Azerbaijan (AZE) Non-profit institutions serving households P.3n","Azerbaijan","Non-profit institutions serving households P.3n",NA,0
"4011",1994,"Azerbaijan (AZE) Government final consumption P.3g","Azerbaijan","Government final consumption P.3g",NA,0
"4012",1994,"Azerbaijan (AZE) Gross fixed capital formation P.51","Azerbaijan","Gross fixed capital formation P.51",NA,0
"4013",1994,"Azerbaijan (AZE) Changes in inventories P.52","Azerbaijan","Changes in inventories P.52",NA,0
"4014",1994,"Azerbaijan (AZE) Acquisitions less disposals of valuables P.53","Azerbaijan","Acquisitions less disposals of valuables P.53",NA,0
"4015",1994,"Burundi (BDI) Household final consumption P.3h","Burundi","Household final consumption P.3h",0,102.308794451565
"4016",1994,"Burundi (BDI) Non-profit institutions serving households P.3n","Burundi","Non-profit institutions serving households P.3n",NA,0
"4017",1994,"Burundi (BDI) Government final consumption P.3g","Burundi","Government final consumption P.3g",NA,0
"4018",1994,"Burundi (BDI) Gross fixed capital formation P.51","Burundi","Gross fixed capital formation P.51",NA,0
"4019",1994,"Burundi (BDI) Changes in inventories P.52","Burundi","Changes in inventories P.52",NA,0
"4020",1994,"Burundi (BDI) Acquisitions less disposals of valuables P.53","Burundi","Acquisitions less disposals of valuables P.53",NA,0
"4021",1994,"Belgium (BEL) Household final consumption P.3h","Belgium","Household final consumption P.3h",0,47110.1589775834
"4022",1994,"Belgium (BEL) Non-profit institutions serving households P.3n","Belgium","Non-profit institutions serving households P.3n",NA,0
"4023",1994,"Belgium (BEL) Government final consumption P.3g","Belgium","Government final consumption P.3g",NA,0
"4024",1994,"Belgium (BEL) Gross fixed capital formation P.51","Belgium","Gross fixed capital formation P.51",NA,0
"4025",1994,"Belgium (BEL) Changes in inventories P.52","Belgium","Changes in inventories P.52",NA,0
"4026",1994,"Belgium (BEL) Acquisitions less disposals of valuables P.53","Belgium","Acquisitions less disposals of valuables P.53",NA,0
"4027",1994,"Benin (BEN) Household final consumption P.3h","Benin","Household final consumption P.3h",0,124.249303309171
"4028",1994,"Benin (BEN) Non-profit institutions serving households P.3n","Benin","Non-profit institutions serving households P.3n",NA,0
"4029",1994,"Benin (BEN) Government final consumption P.3g","Benin","Government final consumption P.3g",NA,0
"4030",1994,"Benin (BEN) Gross fixed capital formation P.51","Benin","Gross fixed capital formation P.51",NA,0
"4031",1994,"Benin (BEN) Changes in inventories P.52","Benin","Changes in inventories P.52",NA,0
"4032",1994,"Benin (BEN) Acquisitions less disposals of valuables P.53","Benin","Acquisitions less disposals of valuables P.53",NA,0
"4033",1994,"Burkina Faso (BFA) Household final consumption P.3h","Burkina Faso","Household final consumption P.3h",0,146.402150300865
"4034",1994,"Burkina Faso (BFA) Non-profit institutions serving households P.3n","Burkina Faso","Non-profit institutions serving households P.3n",NA,0
"4035",1994,"Burkina Faso (BFA) Government final consumption P.3g","Burkina Faso","Government final consumption P.3g",NA,0
"4036",1994,"Burkina Faso (BFA) Gross fixed capital formation P.51","Burkina Faso","Gross fixed capital formation P.51",NA,0
"4037",1994,"Burkina Faso (BFA) Changes in inventories P.52","Burkina Faso","Changes in inventories P.52",NA,0
"4038",1994,"Burkina Faso (BFA) Acquisitions less disposals of valuables P.53","Burkina Faso","Acquisitions less disposals of valuables P.53",NA,0
"4039",1994,"Bangladesh (BGD) Household final consumption P.3h","Bangladesh","Household final consumption P.3h",0,3969.43877431447
"4040",1994,"Bangladesh (BGD) Non-profit institutions serving households P.3n","Bangladesh","Non-profit institutions serving households P.3n",NA,0
"4041",1994,"Bangladesh (BGD) Government final consumption P.3g","Bangladesh","Government final consumption P.3g",NA,0
"4042",1994,"Bangladesh (BGD) Gross fixed capital formation P.51","Bangladesh","Gross fixed capital formation P.51",NA,0
"4043",1994,"Bangladesh (BGD) Changes in inventories P.52","Bangladesh","Changes in inventories P.52",NA,0
"4044",1994,"Bangladesh (BGD) Acquisitions less disposals of valuables P.53","Bangladesh","Acquisitions less disposals of valuables P.53",NA,0
"4045",1994,"Bulgaria (BGR) Household final consumption P.3h","Bulgaria","Household final consumption P.3h",0,8017.60959904501
"4046",1994,"Bulgaria (BGR) Non-profit institutions serving households P.3n","Bulgaria","Non-profit institutions serving households P.3n",NA,0
"4047",1994,"Bulgaria (BGR) Government final consumption P.3g","Bulgaria","Government final consumption P.3g",NA,0
"4048",1994,"Bulgaria (BGR) Gross fixed capital formation P.51","Bulgaria","Gross fixed capital formation P.51",NA,0
"4049",1994,"Bulgaria (BGR) Changes in inventories P.52","Bulgaria","Changes in inventories P.52",NA,0
"4050",1994,"Bulgaria (BGR) Acquisitions less disposals of valuables P.53","Bulgaria","Acquisitions less disposals of valuables P.53",NA,0
"4051",1994,"Bahrain (BHR) Household final consumption P.3h","Bahrain","Household final consumption P.3h",0,1111.55824328352
"4052",1994,"Bahrain (BHR) Non-profit institutions serving households P.3n","Bahrain","Non-profit institutions serving households P.3n",NA,0
